6712.txt	1385	509	0.37	42
2858.txt	4867	708	0.15	134
6466.txt	6074	1134	0.19	187
6818.txt	2683	850	0.32	100
5824.txt	4182	1173	0.28	133
6783.txt	1460	555	0.38	54
399.txt	2962	415	0.14	94
4715.txt	1727	496	0.29	54
116.txt	2115	384	0.18	67
4971.txt	2986	613	0.21	84
1577.txt	3630	403	0.11	97
1363.txt	36525	2164	0.06	1068
2324.txt	4656	657	0.14	144
3909.txt	5936	953	0.16	180
6757.txt	3241	803	0.25	120
6277.txt	3359	575	0.17	90
357.txt	2867	366	0.13	89
6408.txt	4472	860	0.19	120
5506.txt	2100	398	0.19	68
1602.txt	2874	353	0.12	89
5417.txt	6188	1320	0.21	140
4058.txt	2789	562	0.2	91
4864.txt	1053	389	0.37	34
4465.txt	3318	1069	0.32	74
5895.txt	5024	1004	0.2	175
865.txt	2773	387	0.14	87
5434.txt	2500	773	0.31	84
305.txt	4299	885	0.21	156
3453.txt	767	196	0.26	28
3289.txt	2451	836	0.34	84
3309.txt	8096	1586	0.2	240
6706.txt	1906	805	0.42	83
3176.txt	4027	964	0.24	128
527.txt	4977	312	0.06	137
4110.txt	3065	1070	0.35	126
3878.txt	4543	1467	0.32	123
6137.txt	5832	1811	0.31	193
34.txt	90496	2100	0.02	2570
4767.txt	6729	1469	0.22	131
4075.txt	6725	2187	0.33	210
1251.txt	2490	421	0.17	85
4139.txt	3226	766	0.24	116
6526.txt	17123	2504	0.15	379
1260.txt	2258	386	0.17	89
1760.txt	12301	510	0.04	377
6657.txt	2918	778	0.27	75
4161.txt	658	338	0.51	31
1348.txt	7856	894	0.11	290
6864.txt	1042	559	0.54	51
1067.txt	3732	557	0.15	130
717.txt	11325	1047	0.09	314
1792.txt	1893	393	0.21	73
3977.txt	2583	659	0.26	82
5544.txt	2793	575	0.21	133
1088.txt	2716	469	0.17	88
756.txt	4234	464	0.11	111
583.txt	11496	1054	0.09	274
6637.txt	2944	576	0.2	87
3688.txt	3113	609	0.2	73
4609.txt	11701	3528	0.3	343
5908.txt	3932	799	0.2	107
5706.txt	2856	645	0.23	113
4591.txt	1770	562	0.32	59
1015.txt	2373	320	0.13	67
1930.txt	2531	495	0.2	102
3047.txt	2747	751	0.27	123
6167.txt	6271	1164	0.19	164
1297.txt	11180	395	0.04	427
3305.txt	4356	1012	0.23	238
953.txt	2760	337	0.12	70
5473.txt	1385	268	0.19	39
1780.txt	2005	791	0.39	77
5017.txt	7449	2616	0.35	153
25.txt	3247	241	0.07	96
5631.txt	3144	804	0.26	99
6512.txt	2294	966	0.42	70
3686.txt	9210	895	0.1	227
1016.txt	4847	569	0.12	124
2209.txt	3430	734	0.21	85
5054.txt	3986	1435	0.36	109
2286.txt	3189	1083	0.34	99
3374.txt	3177	1171	0.37	101
6183.txt	4464	953	0.21	139
6582.txt	2423	451	0.19	132
4522.txt	2657	1042	0.39	84
1398.txt	3382	467	0.14	87
2172.txt	2192	323	0.15	66
2162.txt	1652	245	0.15	53
2370.txt	2638	895	0.34	102
7053.txt	3534	1455	0.41	115
121.txt	4505	236	0.05	126
2166.txt	2397	513	0.21	69
1593.txt	4927	819	0.17	158
2457.txt	6367	438	0.07	171
4544.txt	6729	1852	0.28	173
2979.txt	8032	994	0.12	206
243.txt	2439	160	0.07	70
5451.txt	4061	762	0.19	104
837.txt	3562	450	0.13	102
590.txt	2725	258	0.09	94
4528.txt	3241	876	0.27	116
2804.txt	1189	503	0.42	51
773.txt	2959	309	0.1	106
3472.txt	4301	1083	0.25	127
6770.txt	3443	1221	0.35	95
5550.txt	4641	1523	0.33	151
4270.txt	3251	1114	0.34	105
2148.txt	4919	1016	0.21	147
52.txt	4705	527	0.11	134
2909.txt	2095	599	0.29	68
5759.txt	999	363	0.36	40
7112.txt	678	122	0.18	31
1133.txt	2486	422	0.17	80
6124.txt	1504	725	0.48	51
2351.txt	986	323	0.33	47
6927.txt	5742	1957	0.34	128
566.txt	2328	263	0.11	68
7089.txt	373	199	0.53	19
2676.txt	1313	387	0.29	52
6796.txt	6665	1432	0.21	265
1369.txt	1978	292	0.15	60
5307.txt	831	363	0.44	39
6009.txt	1683	658	0.39	57
6990.txt	2385	610	0.26	72
644.txt	6414	755	0.12	174
3340.txt	11882	1427	0.12	328
3032.txt	2952	302	0.1	112
4811.txt	941	387	0.41	39
4236.txt	10191	1647	0.16	250
5003.txt	8497	847	0.1	259
2529.txt	1698	366	0.22	62
